date,views
2019-01-01,440805
2019-02-01,350021
2019-03-01,329356
2019-04-01,316285
2019-05-01,315737
2019-06-01,296318
2019-07-01,355367
2019-08-01,355758
2019-09-01,382472
2019-10-01,421353
2019-11-01,406102
2019-12-01,409294
2020-01-01,403858
2020-02-01,400844
2020-03-01,359159
2020-04-01,415145
2020-05-01,468892
2020-06-01,419647
2020-07-01,457210
2020-08-01,476413
2020-09-01,484350
2020-10-01,561753
2020-11-01,678594
2020-12-01,719730
2021-01-01,580127
2021-02-01,572175
2021-03-01,525277
2021-04-01,384482
2021-05-01,370100
2021-06-01,340332
2021-07-01,1330207
2021-08-01,1018836
2021-09-01,851759
2021-10-01,939367
2021-11-01,877716
2021-12-01,814201
2022-01-01,930683
2022-02-01,744183
2022-03-01,747413
2022-04-01,745444
2022-05-01,616364
2022-06-01,487773
2022-07-01,581852
2022-08-01,789245
2022-09-01,710428
2022-10-01,582888
2022-11-01,668255
2022-12-01,534932
2023-01-01,544784
2023-02-01,318942
2023-03-01,327228
2023-04-01,336521
2023-05-01,340980
2023-06-01,369679
2023-07-01,485697
2023-08-01,456158
2023-09-01,431003
2023-10-01,495248
2023-11-01,436276
2023-12-01,383165
2024-01-01,383508
2024-02-01,356946
2024-03-01,386170
2024-04-01,366910
2024-05-01,383309
2024-06-01,309062
2024-07-01,326351
2024-08-01,302623
2024-09-01,319987
2024-10-01,346648
2024-11-01,330369
2024-12-01,341761
2025-01-01,361892
2025-02-01,269992
2025-03-01,292902
2025-04-01,225948
2025-05-01,220037
2025-06-01,228024
2025-07-01,258508
2025-08-01,236357
2025-09-01,218520
2025-10-01,6291
